mean_small,mean_large,difference
2674.5,2789.9,115.4
2662.8,2794.4,131.6
2673.4,2794.6,121.2
2686.5,2794.6,108.1
2672,2794.6,122.6
2689.8,2792.7,102.9
2676.9,2794.6,117.7
2691.1,2792.7,101.6
2700.6,2794.6,94
2654.3,2794.6,140.3
2678.8,2794.1,115.3
2703.7,2792,88.3000000000002
2671.8,2794.6,122.8
2670.6,2794.6,124
2724.5,2788.3,63.8000000000002
2711.6,2788,76.4000000000001
2717.9,2786.3,68.4000000000001
2668.1,2792.7,124.6
2712.9,2790,77.0999999999999
2669,2794.6,125.6
2674.4,2794.6,120.2
2681.7,2792,110.3
2676,2794.6,118.6
2718.3,2787.7,69.3999999999996
2654.9,2794.6,139.7
2733.2,2785.3,52.1000000000004
2684.4,2784.8,100.4
2697.5,2783.5,86
2664.8,2794.6,129.8
2667.7,2789.9,122.2
2665.3,2794.6,129.3
2674.6,2794.6,120
2676.3,2794.6,118.3
2693.4,2794.6,101.2
2687.3,2794.6,107.3
2672.4,2792.7,120.3
2662.6,2794.6,132
2677.1,2794.6,117.5
2690.1,2794.6,104.5
2665.3,2792.7,127.4
2693.7,2794.1,100.4
2673.6,2784.8,111.2
2705.6,2792.8,87.2000000000003
2698.9,2792,93.0999999999999
2684.7,2788.3,103.6
2694.9,2792.7,97.7999999999997
2666.3,2794.6,128.3
2676.8,2794.6,117.8
2672.2,2794.6,122.4
2697.8,2794.1,96.2999999999997
2686.4,2791.3,104.9
2689.9,2792.7,102.8
2696.8,2789.9,93.0999999999999
2673.5,2794.6,121.1
2681.3,2794.1,112.8
2683.3,2794.6,111.3
2659.6,2794.6,135
2697.9,2792.4,94.5
2689.5,2794.1,104.6
2706.8,2793.4,86.5999999999999
2722.5,2782.8,60.3000000000002
2665.7,2794.6,128.9
2692.8,2789.9,97.0999999999999
2667.5,2794.6,127.1
2699.5,2794.1,94.5999999999999
2666.7,2794.6,127.9
2674.9,2794.6,119.7
2689.2,2794,104.8
2680.5,2794.6,114.1
2670,2794.6,124.6
2678.7,2794.6,115.9
2665.1,2794.6,129.5
2694.3,2794.4,100.1
2719.5,2787.1,67.5999999999999
2661.1,2794.6,133.5
2672.2,2792.7,120.5
2701.7,2786.3,84.6000000000004
2702.1,2789.9,87.8000000000002
2705.9,2794.1,88.1999999999998
2676.5,2794.6,118.1
2679.7,2792.7,113
2677.2,2794.6,117.4
2710,2786.3,76.3000000000002
2669.2,2794.6,125.4
2691.7,2794.6,102.9
2673.5,2794.6,121.1
2682.9,2792.7,109.8
2672.8,2794.6,121.8
2668,2794.6,126.6
2671.5,2793.4,121.9
2700.3,2789.8,89.5
2708.8,2794.6,85.7999999999997
2652.4,2794.1,141.7
2672.8,2794.6,121.8
2692.3,2788.3,96
2660,2788.3,128.3
2647.2,2794.6,147.4
2694.7,2792.7,98
2699,2794.4,95.4000000000001
2691.2,2794.6,103.4
2658.5,2794.6,136.1
