mean_small,mean_large,difference
2376.1,2669.4,293.3
2326.9,2669.4,342.5
2470.4,2655.3,184.9
2479,2663.6,184.6
2334.3,2669.4,335.1
2423.1,2665.3,242.2
2454.7,2669.4,214.7
2367.8,2655.3,287.5
2470.5,2669.4,198.9
2393.4,2669.4,276
2375.1,2669.4,294.3
2359.4,2669.4,310
2407.9,2669.4,261.5
2396.9,2669.4,272.5
2455.7,2655.3,199.6
2560.2,2644.8,84.6000000000004
2389.1,2669.4,280.3
2380.5,2669.4,288.9
2461.2,2666.2,205
2436.1,2658,221.9
2427.5,2669.4,241.9
2363.4,2669.4,306
2404.6,2669.4,264.8
2452.1,2666.2,214.1
2432.7,2669.4,236.7
2453.4,2669.4,216
2370.4,2669.4,299
2416.5,2654.5,238
2371.8,2669.4,297.6
2453.7,2662.9,209.2
2409.7,2669.4,259.7
2419.6,2653.3,233.7
2348.2,2669.4,321.2
2431.3,2669.4,238.1
2429.5,2666.5,237
2484.7,2655.3,170.6
2406.3,2669.4,263.1
2392.6,2669.4,276.8
2486.9,2666.7,179.8
2382.6,2669.4,286.8
2426.9,2669.4,242.5
2453.2,2658,204.8
2423.8,2669.4,245.6
2410.3,2669.4,259.1
2447.2,2666.7,219.5
2532.9,2663,130.1
2329.1,2669.4,340.3
2386.9,2669.4,282.5
2361.9,2669.4,307.5
2455.9,2666.7,210.8
2435.5,2657.4,221.9
2339.1,2669.4,330.3
2346,2669.4,323.4
2383.6,2669.4,285.8
2462.8,2669.4,206.6
2421,2669.4,248.4
2432,2669.4,237.4
2485.1,2651.2,166.1
2414.9,2669.4,254.5
2427.7,2656.8,229.1
2432.6,2669.4,236.8
2398,2669.4,271.4
2389.1,2668.8,279.7
2433.1,2669.4,236.3
2327,2669.4,342.4
2328.4,2669.4,341
2442.8,2669.4,226.6
2320,2669.4,349.4
2449.7,2662.6,212.9
2474.2,2669.4,195.2
2444,2655.3,211.3
2462.9,2666.2,203.3
2349.1,2658,308.9
2414.1,2668.8,254.7
2365.9,2669.4,303.5
2462.5,2664.7,202.2
2423.2,2669.4,246.2
2386.3,2669.4,283.1
2489.3,2657.4,168.1
2370.7,2669.4,298.7
2414.6,2669.4,254.8
2395,2664.7,269.7
2392.3,2665.5,273.2
2406.7,2666.5,259.8
2448,2668.8,220.8
2437.5,2669.4,231.9
2366.2,2657.4,291.2
2439.4,2669.4,230
2445.2,2669.4,224.2
2380.1,2666.7,286.6
2317.3,2669.4,352.1
2456.3,2657.4,201.1
2429.7,2669.4,239.7
2427.6,2655.3,227.7
2348.4,2665.9,317.5
2340.7,2669.4,328.7
2464.8,2665.9,201.1
2450.5,2664.7,214.2
2402.8,2669.4,266.6
2457.3,2667.1,209.8
2351.7,2669.4,317.7
2443.7,2669.4,225.7
2378.8,2669.4,290.6
2517.2,2662.7,145.5
2361.4,2668.8,307.4
2500.5,2648.3,147.8
2468,2669.4,201.4
2475.6,2665.9,190.3
2397.4,2669.4,272
2469.4,2666.1,196.7
2387.8,2669.4,281.6
2352.8,2669.4,316.6
2411.8,2669.4,257.6
2511.3,2668.8,157.5
2452.3,2669.4,217.1
2356.5,2669.4,312.9
2404.1,2669.4,265.3
2418.1,2669.4,251.3
2415.9,2666.5,250.6
2411,2669.4,258.4
2410.7,2669.4,258.7
2416.5,2667.1,250.6
2371.7,2669.4,297.7
2403.3,2669.4,266.1
2437.9,2664.7,226.8
2369.3,2669.4,300.1
2340.9,2669.4,328.5
2455.5,2666.7,211.2
2411.9,2669.4,257.5
2434.8,2655.3,220.5
2405.2,2669.4,264.2
2445,2664.7,219.7
2422.5,2669.4,246.9
2509.2,2666.2,157
2289.2,2669.4,380.2
2557.1,2638.2,81.0999999999999
2435.3,2667.1,231.8
2420.2,2669.4,249.2
2288.1,2669.4,381.3
2558.8,2643.3,84.5
2475.9,2663.8,187.9
2443.4,2663.6,220.2
2405.4,2663,257.6
2302.4,2669.4,367
2404.3,2658,253.7
2479.5,2657.4,177.9
2424.2,2669.4,245.2
2314.5,2669.4,354.9
2425.9,2664.7,238.8
2372.2,2667.1,294.9
2507,2664.7,157.7
2460.1,2668.2,208.1
2484.8,2660.5,175.7
2373.1,2669.4,296.3
2383.4,2664.7,281.3
2424.2,2669.4,245.2
2372.2,2667.1,294.9
2447,2669.4,222.4
2458.6,2669.4,210.8
2360.1,2669.4,309.3
2403,2666.5,263.5
2433.5,2669.4,235.9
2392.5,2669.4,276.9
2393,2658,265
2369.6,2669.4,299.8
2380.7,2657.4,276.7
2452.3,2662.6,210.3
2465.9,2669.4,203.5
2447.1,2652.3,205.2
2491.5,2660.9,169.4
2355.9,2669.4,313.5
2381.7,2669.4,287.7
2412.7,2669.4,256.7
2397.6,2664.7,267.1
2405.2,2669.4,264.2
2475.9,2665.9,190
2437.2,2667.1,229.9
2490.8,2654.1,163.3
2349.1,2669.4,320.3
2460.3,2662.1,201.8
2377.9,2669.4,291.5
2447.7,2666.2,218.5
2364.6,2669.4,304.8
2454.7,2662.4,207.7
2321.9,2669.4,347.5
2309.5,2665.9,356.4
2386.9,2669.4,282.5
2359,2669.4,310.4
2352.7,2665.9,313.2
2436.3,2669.4,233.1
2351.2,2669.4,318.2
2427.8,2669.4,241.6
2458.1,2663.3,205.2
2397,2657.4,260.4
2498.3,2651.8,153.5
2335.3,2665.9,330.6
2362,2669.4,307.4
2354.2,2669.4,315.2
2427.3,2668.8,241.5
2370.8,2665.9,295.1
2317.9,2669.4,351.5
2440,2668.8,228.8
2388.5,2669.4,280.9
2477.4,2653.9,176.5
2406.2,2665.9,259.7
2320.6,2669.4,348.8
2388.4,2669.4,281
2486.2,2665.6,179.4
2426,2669.4,243.4
2451.5,2665.9,214.4
2395.2,2665.9,270.7
2452.8,2658,205.2
2362.5,2669.4,306.9
2373.5,2669.4,295.9
2330.3,2668.8,338.5
2395.8,2655.3,259.5
2369,2669.4,300.4
2366.6,2667.1,300.5
2448.3,2654.5,206.2
2401.6,2666.5,264.9
2409.8,2669.4,259.6
2404.6,2666.5,261.9
2487.8,2664.1,176.3
2373.5,2669.4,295.9
2493.6,2650,156.4
2468.2,2658,189.8
2398.3,2666.7,268.4
2288.6,2669.4,380.8
2449.9,2669.4,219.5
2404.2,2669.4,265.2
2493.4,2669.4,176
2425.5,2655.3,229.8
2394.3,2655.3,261
2403.8,2669.4,265.6
2469.2,2665.9,196.7
2476.8,2643.3,166.5
2447.9,2663.8,215.9
2392.5,2669.4,276.9
2423.1,2668.8,245.7
2344.2,2669.4,325.2
2479.2,2666.5,187.3
2417.5,2663.8,246.3
2398.1,2669.4,271.3
2367.8,2669.4,301.6
2343.1,2669.4,326.3
2463.3,2666.2,202.9
2504.3,2657.4,153.1
2315.6,2669.4,353.8
2491,2653.3,162.3
2420,2669.4,249.4
2420.6,2665.9,245.3
2411.9,2669.4,257.5
2392.1,2669.4,277.3
2488.8,2658.5,169.7
2420.2,2669.4,249.2
