country,Obs. top 1,Expected top 1,p top 1
FRA,337,177.07613,0.98809
GER,193,68.7589,0.99119
RUS,205,31.72716,1
ESP,299,153.83072,0.99067
POL,348,112.68577,0.99999
IND,183,97.1905,0.91007
IRI,203,171.19287,0.63663
GRE,220,74.09737,0.97791
CZE,419,173.45464,0.99981
TUR,169,95.33178,0.82864
HUN,333,160.22616,0.9811
BRA,381,78.19003,0.99976
SRI,426,120.02524,0.99979
SRB,256,100.08978,0.99643
NED,388,232.01308,0.96949
ITA,237,151.45212,0.87697
COL,292,43.19916,0.99997
UKR,131,34.77757,0.99207
AUT,364,212.88882,0.97834
SVK,251,142.84073,0.87542
CHN,137,46.09606,0.94775
CRO,362,130.30678,0.99926
ROU,215,89.60239,0.97303
MEX,357,111.07405,0.99989
BEL,319,164.89694,0.94309
SWE,222,238.723,0.41391
ENG,287,160.15427,0.8916
KAZ,141,107.03136,0.61039
CUB,264,59.33968,0.99999
GEO,167,47.92937,0.98536
NOR,670,419.51436,0.98424
USA,400,150.33516,0.99893
SUI,325,185.89961,0.95753
VIE,347,67.00618,0.99892
LTU,-3,44.59213,0.18434
ARG,296,154.90174,0.93909
ISR,338,142.83508,0.98548
DEN,440,269.10323,0.94058
EGY,500,283.57349,0.98149
PHI,388,64.94558,1
BAN,413,183.80631,0.98394
LAT,338,95.66692,0.99447
SLO,330,138.79939,0.9862
CHI,529,152.07328,1
KEN,474,81.89614,1
BUL,261,177.71063,0.86259
